geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_south_lanarkshire_calderside_academy_8530130.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_calderside_academy_8530130.geojson,CALDERSIDE ACADEMY,South Lanarkshire,8530130,Calderside Academy|G72 0AX,seed_code
scotland_sn_argyll_and_bute_hermitage_academy_8304734.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_argyll_and_bute_hermitage_academy_8304734.geojson,HERMITAGE ACADEMY,Argyll and Bute,8304734,Hermitage Academy|G84 7LA,seed_code
scotland_sn_north_lanarkshire_brannock_high_school_8519234.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_brannock_high_school_8519234.geojson,BRANNOCK HIGH SCHOOL,North Lanarkshire,8519234,Brannock High School|ML1 5AU,seed_code
scotland_sn_perth_and_kinross_bertha_park_high_school_1004743.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_bertha_park_high_school_1004743.geojson,BERTHA PARK HIGH SCHOOL,Perth and Kinross,1004743,Bertha Park High School|PH1 0AU,seed_code
scotland_sn_stirling_dunblane_high_school_5722438.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_stirling_dunblane_high_school_5722438.geojson,DUNBLANE HIGH SCHOOL,Stirling,5722438,Dunblane High School|FK15 9EW,seed_code
scotland_sn_east_dunbartonshire_kirkintilloch_high_70.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_dunbartonshire_kirkintilloch_high_70.geojson,KIRKINTILLOCH HIGH,East Dunbartonshire,,Kirkintilloch High School|G66 3PA,manual_override
scotland_sn_aberdeenshire_ellon_academy_5231132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_ellon_academy_5231132.geojson,ELLON ACADEMY,Aberdeenshire,5231132,Ellon Academy|AB41 8LF,seed_code
scotland_sn_north_lanarkshire_clyde_valley_high_school_8517932.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_clyde_valley_high_school_8517932.geojson,CLYDE VALLEY HIGH SCHOOL,North Lanarkshire,8517932,Clyde Valley High School|ML2 0LS,seed_code
scotland_sn_shetland_islands_mid_yell_junior_high_school_6103731.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_mid_yell_junior_high_school_6103731.geojson,MID YELL JUNIOR HIGH SCHOOL,Shetland Islands,6103731,Mid Yell Junior High School|ZE2 9BN,seed_code
scotland_sn_renfrewshire_gryffe_high_school_8633436.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_renfrewshire_gryffe_high_school_8633436.geojson,GRYFFE HIGH SCHOOL,Renfrewshire,8633436,Gryffe High School|PA6 7EB,seed_code
